Order_ID,Order_Date,Customer_ID,Customer_Name,Segment,Region,State,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Shipping_Cost,Payment_Mode
ORD-000018,2022-02-16,CUST-0089,Barbara Jackson,Corporate,North,Michigan,PROD-0050,Technology,Phones,Pro Monitor 299,4244.38,6,0.1,221.53,250.23,Net Banking
ORD-000019,2021-03-04,CUST-0326,Barbara Thomas,Corporate,East,Pennsylvania,PROD-0032,Furniture,Tables,Pro Lamp 438,3134.22,8,0.3,-271.82,338.96,UPI
ORD-000020,2021-07-05,CUST-0384,Richard Taylor,Home Office,South,Florida,PROD-0177,Furniture,Bookcases,Pro Lamp 676,5774.69,10,0.1,1311.62,334.27,Cash
ORD-000021,2023-04-19,CUST-0138,Susan Martin,Home Office,West,Oregon,PROD-0167,Technology,Accessories,Ultra Monitor 758,1300.33,1,0.5,-99.53,33.43,Card
ORD-000022,2022-09-18,CUST-0115,William Davis,Consumer,South,North Carolina,PROD-0065,Office Supplies,Binders,Basic Marker 238,287.62,7,0.3,-15.04,92.79,UPI
ORD-000023,2023-03-25,CUST-0347,Susan Wilson,Corporate,West,Washington,PROD-0134,Office Supplies,Storage,Ultra Marker 254,959.47,6,0.2,-19.63,48.49,Card
ORD-000024,2022-10-28,CUST-0173,Michael Moore,Home Office,North,Illinois,PROD-0071,Office Supplies,Fasteners,Smart Stapler 565,646.48,5,0.1,9.68,194.89,Card
ORD-000025,2023-04-08,CUST-0413,Jennifer Harris,Consumer,East,New Jersey,PROD-0154,Office Supplies,Envelopes,Basic Notebook 573,932.16,8,0.2,-29.99,181.38,Net Banking
ORD-000026,2022-01-24,CUST-0378,Richard Harris,Home Office,South,Texas,PROD-0010,Furniture,Bookcases,Classic Cabinet 936,4211.3,8,0.3,-159.21,341.88,Cash
ORD-000027,2023-08-23,CUST-0151,Jessica Wilson,Consumer,West,California,PROD-0025,Furniture,Furnishings,Classic Chair 525,720.5,3,0.3,4.56,40.34,Cash
ORD-000028,2023-05-12,CUST-0382,William Martin,Consumer,East,Pennsylvania,PROD-0079,Furniture,Furnishings,Basic Chair 978,3993.43,5,0.5,-377.92,125.58,Card
ORD-000029,2023-10-22,CUST-0242,William Harris,Corporate,West,Nevada,PROD-0050,Technology,Phones,Pro Monitor 299,14406.41,7,0.0,4484.06,70.61,Cash
ORD-000030,2023-07-27,CUST-0176,Jessica Williams,Corporate,East,Connecticut,PROD-0105,Office Supplies,Fasteners,Elite Notebook 888,40.17,2,0.5,-10.05,98.74,UPI
ORD-000031,2021-01-10,CUST-0325,Richard Martin,Consumer,South,Georgia,PROD-0015,Technology,Accessories,Classic Camera 347,6676.78,10,0.0,1314.48,388.88,Card
ORD-000032,2023-06-08,CUST-0067,Mary Smith,Home Office,North,Ohio,PROD-0158,Office Supplies,Binders,Basic Marker 122,1352.67,7,0.0,82.94,86.61,UPI
ORD-000033,2022-10-22,CUST-0487,Patricia White,Home Office,South,Texas,PROD-0004,Office Supplies,Art,Ultra Tape 568,7.64,1,0.1,0.29,44.22,UPI
ORD-000034,2023-02-25,CUST-0067,Mary Smith,Home Office,North,Ohio,PROD-0027,Technology,Machines,Ultra Monitor 633,762.43,1,0.2,133.07,24.43,UPI
ORD-000035,2021-10-02,CUST-0223,Joseph Harris,Consumer,South,Florida,PROD-0176,Furniture,Bookcases,Smart Stool 705,3004.77,4,0.0,1004.87,184.62,Net Banking
ORD-000036,2022-04-05,CUST-0010,Susan Davis,Consumer,South,Virginia,PROD-0059,Technology,Machines,Basic Speaker 549,4370.57,10,0.0,380.01,364.22,Card
ORD-000037,2022-06-08,CUST-0193,Patricia Brown,Home Office,East,Massachusetts,PROD-0164,Furniture,Bookcases,Elite Shelf 252,1565.37,1,0.0,385.19,3.93,Card
ORD-000038,2023-02-18,CUST-0214,Patricia Harris,Corporate,East,New Jersey,PROD-0114,Office Supplies,Envelopes,Classic Pen Set 782,567.46,4,0.0,79.63,136.39,UPI
ORD-000039,2021-10-08,CUST-0319,David Smith,Home Office,North,Ohio,PROD-0156,Furniture,Tables,Eco Desk 481,8957.69,10,0.0,1207.6,398.84,Net Banking
ORD-000040,2022-02-14,CUST-0102,Sarah Wilson,Home Office,South,Virginia,PROD-0156,Furniture,Tables,Eco Desk 481,5681.24,6,0.4,-1030.55,29.11,Net Banking
ORD-000041,2023-09-12,CUST-0467,Jennifer Jones,Corporate,West,Oregon,PROD-0054,Furniture,Bookcases,Classic Desk 272,728.15,2,0.5,-222.27,14.47,Card
ORD-000042,2021-07-27,CUST-0371,Joseph Martin,Consumer,North,Wisconsin,PROD-0186,Technology,Machines,Pro Phone 849,7803.17,5,0.2,228.5,38.46,Cash
ORD-000043,2022-08-19,CUST-0448,Susan Jackson,Home Office,North,Illinois,PROD-0011,Technology,Machines,Ultra Laptop 706,4092.92,2,0.0,1249.87,89.69,Card
ORD-000044,2021-12-16,CUST-0437,Richard Jones,Consumer,West,Arizona,PROD-0036,Furniture,Tables,Classic Desk 870,3622.28,5,0.0,586.04,95.54,Card
ORD-000045,2023-07-24,CUST-0206,Michael Moore,Consumer,South,Florida,PROD-0103,Technology,Phones,Premium Printer 469,8315.02,7,0.0,697.77,250.04,Card
ORD-000046,2021-08-01,CUST-0483,Mary Miller,Consumer,East,New Jersey,PROD-0041,Technology,Phones,Smart Tablet 965,14341.71,8,0.0,3347.31,316.97,Card
ORD-000047,2021-09-25,CUST-0442,Patricia Johnson,Consumer,West,California,PROD-0176,Furniture,Bookcases,Smart Stool 705,8142.81,8,0.0,561.86,270.27,Card
ORD-000048,2023-12-11,CUST-0361,James Martin,Home Office,North,Wisconsin,PROD-0174,Office Supplies,Paper,Premium Stapler 882,691.06,6,0.0,124.29,222.92,Net Banking
ORD-000049,2023-02-28,CUST-0178,David White,Corporate,South,Virginia,PROD-0170,Office Supplies,Envelopes,Eco Stapler 376,1789.52,10,0.0,95.73,469.15,Net Banking
ORD-000050,2021-12-05,CUST-0437,Richard Jones,Consumer,West,Arizona,PROD-0127,Technology,Accessories,Smart Monitor 377,7501.81,5,0.0,1515.96,144.37,Net Banking
ORD-000051,2021-06-11,CUST-0207,Mary Taylor,Home Office,West,California,PROD-0061,Office Supplies,Envelopes,Eco Scissors 269,369.52,8,0.5,-94.29,392.73,Card
ORD-000052,2023-04-25,CUST-0053,Sarah Miller,Consumer,East,Connecticut,PROD-0104,Technology,Accessories,Eco Monitor 474,13358.73,10,0.2,2097.77,294.3,Net Banking
ORD-000053,2023-01-15,CUST-0487,Patricia White,Home Office,South,Texas,PROD-0088,Technology,Phones,Eco Speaker 810,7376.81,6,0.5,-995.89,120.45,Net Banking
ORD-000054,2022-03-31,CUST-0059,James Harris,Corporate,South,Texas,PROD-0025,Furniture,Furnishings,Classic Chair 525,364.61,5,0.3,7.52,25.76,Cash
ORD-000055,2023-04-19,CUST-0253,John Jackson,Corporate,East,Pennsylvania,PROD-0036,Furniture,Tables,Classic Desk 870,1910.33,7,0.1,204.62,278.09,UPI
ORD-000056,2023-04-29,CUST-0056,Robert White,Home Office,East,Connecticut,PROD-0194,Office Supplies,Labels,Smart Notebook 427,136.07,2,0.5,-28.95,61.4,Cash
ORD-000057,2021-01-09,CUST-0494,David Brown,Corporate,North,Ohio,PROD-0128,Furniture,Bookcases,Premium Chair 283,5538.46,10,0.5,-402.58,397.11,Cash
ORD-000058,2021-12-22,CUST-0355,Jennifer Miller,Consumer,West,Oregon,PROD-0149,Technology,Copiers,Basic Tablet 192,3001.08,10,0.3,-116.34,210.79,Cash
ORD-000059,2022-12-04,CUST-0141,William Brown,Consumer,East,Pennsylvania,PROD-0102,Furniture,Furnishings,Basic Cabinet 346,10886.03,7,0.2,1555.86,201.23,UPI
ORD-000060,2022-03-22,CUST-0365,William Jones,Corporate,North,Michigan,PROD-0189,Office Supplies,Envelopes,Pro Marker 487,369.98,6,0.0,127.42,201.32,Cash
ORD-000061,2022-10-23,CUST-0258,Sarah Harris,Corporate,North,Minnesota,PROD-0139,Furniture,Bookcases,Premium Chair 337,8698.02,10,0.4,-589.09,450.12,UPI
ORD-000062,2021-01-27,CUST-0450,Sarah Wilson,Corporate,North,Michigan,PROD-0109,Office Supplies,Art,Pro Pen Set 384,30.0,1,0.1,1.5,39.92,UPI
ORD-000063,2021-10-27,CUST-0350,Robert Williams,Home Office,West,Arizona,PROD-0065,Office Supplies,Binders,Basic Marker 238,562.97,9,0.0,88.73,218.45,Cash
ORD-000064,2023-03-08,CUST-0381,Richard Johnson,Consumer,West,Arizona,PROD-0166,Technology,Copiers,Basic Laptop 386,11818.53,5,0.0,3875.83,106.08,UPI
ORD-000065,2021-04-21,CUST-0495,Jessica Harris,Consumer,East,Pennsylvania,PROD-0142,Furniture,Furnishings,Premium Chair 545,897.36,8,0.1,218.46,288.94,UPI
ORD-000066,2022-02-07,CUST-0387,Sarah Moore,Corporate,South,Texas,PROD-0151,Technology,Accessories,Ultra Laptop 464,8683.96,3,0.0,921.31,33.51,Card
ORD-000067,2023-05-28,CUST-0194,James Johnson,Corporate,West,Oregon,PROD-0011,Technology,Machines,Ultra Laptop 706,4147.53,5,0.0,618.68,181.78,Cash
ORD-000068,2022-10-23,CUST-0021,Sarah Williams,Corporate,West,Washington,PROD-0040,Office Supplies,Binders,Eco Tape 725,317.37,5,0.5,-35.87,144.29,Card
ORD-000069,2022-10-13,CUST-0402,David Jones,Home Office,South,Virginia,PROD-0182,Office Supplies,Paper,Smart Marker 160,958.66,9,0.0,167.55,,Card
ORD-000070,2022-03-13,CUST-0179,Joseph Jones,Corporate,North,Michigan,PROD-0057,Furniture,Furnishings,Ultra Lamp 535,6801.68,10,0.5,-346.96,417.13,Card
ORD-000071,2022-12-10,CUST-0059,James Harris,Corporate,South,Texas,PROD-0172,Technology,Phones,Elite Speaker 642,24464.38,10,0.1,6303.71,350.8,UPI
ORD-000072,2023-03-02,CUST-0196,Jessica Miller,Corporate,West,Washington,PROD-0030,Technology,Phones,Basic Speaker 123,13770.09,9,0.3,-491.69,242.2,Net Banking
ORD-000073,2022-01-30,CUST-0023,Richard Harris,Home Office,East,Massachusetts,PROD-0076,Furniture,Furnishings,Smart Shelf 948,6377.35,9,0.0,1518.32,116.16,Cash
ORD-000074,2023-05-19,CUST-0443,Mary Jackson,Corporate,East,Pennsylvania,PROD-0176,Furniture,Bookcases,Smart Stool 705,11814.35,7,0.0,3237.93,71.59,Net Banking
ORD-000075,2021-03-19,CUST-0368,Linda Jones,Consumer,South,North Carolina,PROD-0085,Office Supplies,Labels,Basic Scissors 101,1438.85,9,0.0,320.13,123.29,UPI
ORD-000076,2023-07-13,CUST-0209,Jessica Miller,Consumer,South,Georgia,PROD-0100,Office Supplies,Envelopes,Ultra Tape 865,16.59,2,0.0,4.02,64.12,Card
ORD-000077,2023-01-03,CUST-0359,William Johnson,Home Office,West,Washington,PROD-0019,Technology,Phones,Ultra Laptop 773,1815.5,5,0.0,244.1,232.77,Net Banking
ORD-000078,2021-03-05,CUST-0203,Susan Taylor,Consumer,North,Wisconsin,PROD-0170,Office Supplies,Envelopes,Eco Stapler 376,176.93,7,0.2,31.5,68.4,UPI
ORD-000079,2021-10-17,CUST-0491,Robert Williams,Consumer,South,Florida,PROD-0003,Furniture,Bookcases,Ultra Shelf 838,3007.32,9,0.0,425.26,343.53,UPI
ORD-000080,2023-11-16,CUST-0109,Richard White,Consumer,South,Georgia,PROD-0106,Furniture,Chairs,Basic Lamp 114,1667.99,5,0.1,7.32,172.68,Card
ORD-000081,2023-08-03,CUST-0436,John Thomas,Corporate,North,Illinois,PROD-0193,Office Supplies,Labels,Pro Folder 439,679.89,5,0.0,74.26,151.44,UPI
ORD-000082,2022-04-26,CUST-0183,William Jackson,Corporate,North,Ohio,PROD-0033,Office Supplies,Art,Ultra Folder 916,541.57,6,0.5,-116.33,191.81,UPI
ORD-000083,2021-11-09,CUST-0356,Barbara Williams,Corporate,West,Oregon,PROD-0150,Furniture,Bookcases,Premium Stool 320,8221.84,7,0.0,423.01,101.99,Cash
ORD-000084,2023-06-13,CUST-0365,William Jones,Corporate,North,Michigan,PROD-0190,Technology,Machines,Pro Phone 846,3331.45,6,0.5,-703.42,119.17,UPI
ORD-000085,2021-08-11,CUST-0250,Susan Brown,Consumer,South,Virginia,PROD-0142,Furniture,Furnishings,Premium Chair 545,1171.7,3,0.1,57.38,133.97,Card
ORD-000086,2021-02-08,CUST-0373,Michael Thomas,Home Office,North,Michigan,PROD-0020,Office Supplies,Binders,Premium Notebook 676,980.79,10,0.4,-38.49,130.0,Card
ORD-000087,2023-08-25,CUST-0283,John Johnson,Home Office,North,Wisconsin,PROD-0067,Furniture,Tables,Smart Desk 948,10739.4,10,0.2,-749.99,265.53,Card
ORD-000088,2023-10-26,CUST-0204,Richard Moore,Home Office,South,Texas,PROD-0094,Furniture,Tables,Elite Cabinet 980,1201.24,10,0.0,332.94,95.97,Cash
ORD-000089,2021-10-27,CUST-0092,Sarah Miller,Home Office,West,Arizona,PROD-0145,Technology,Machines,Basic Phone 307,2952.67,4,0.5,-828.15,61.7,Cash
ORD-000090,2022-02-28,CUST-0022,Jennifer White,Consumer,East,Pennsylvania,PROD-0172,Technology,Phones,Elite Speaker 642,19078.47,8,0.0,1182.32,267.85,Card
ORD-000091,2022-07-15,CUST-0361,James Martin,Home Office,North,Wisconsin,PROD-0134,Office Supplies,Storage,Ultra Marker 254,200.07,3,0.4,-14.78,60.51,Card
ORD-000092,2023-02-10,CUST-0265,Susan Williams,Home Office,West,Arizona,PROD-0065,Office Supplies,Binders,Basic Marker 238,252.42,6,0.5,-28.32,268.18,Card
ORD-000093,2023-06-20,CUST-0257,Mary Williams,Consumer,West,Arizona,PROD-0036,Furniture,Tables,Classic Desk 870,1658.6,4,0.0,175.93,80.1,Card
ORD-000094,2023-04-30,CUST-0339,Susan Harris,Home Office,North,Ohio,PROD-0059,Technology,Machines,Basic Speaker 549,8699.02,8,0.5,-2494.78,84.63,Net Banking
ORD-000095,2021-03-30,CUST-0012,Richard Moore,Consumer,West,California,PROD-0063,Furniture,Chairs,Smart Lamp 645,3086.84,9,0.0,979.27,89.12,Cash
ORD-000096,2023-11-25,CUST-0133,Michael Thomas,Corporate,West,Nevada,PROD-0047,Furniture,Furnishings,Pro Sofa 668,1536.52,1,0.2,267.63,13.18,Net Banking
ORD-000097,2021-12-16,CUST-0445,William Anderson,Consumer,South,Florida,PROD-0124,Furniture,Tables,Elite Chair 472,5167.91,10,0.0,1224.61,270.08,Cash
ORD-000098,2022-12-03,CUST-0371,Joseph Martin,Consumer,North,Wisconsin,PROD-0176,Furniture,Bookcases,Smart Stool 705,7780.37,7,0.4,-1792.1,26.45,Net Banking
ORD-000099,2021-07-17,CUST-0424,Sarah Davis,Home Office,South,North Carolina,PROD-0039,Technology,Phones,Elite Tablet 640,24387.7,9,0.0,1901.19,305.92,Card
ORD-000100,2023-06-03,CUST-0460,David Thomas,Home Office,South,Georgia,PROD-0199,Technology,Accessories,Elite Monitor 487,6170.11,9,0.4,-1241.14,366.37,Net Banking
ORD-000101,2021-07-20,CUST-0180,John Williams,Corporate,West,Arizona,PROD-0151,Technology,Accessories,Ultra Laptop 464,1281.33,2,0.2,89.04,57.11,UPI
ORD-000102,2021-01-15,CUST-0097,John Smith,Corporate,North,Michigan,PROD-0002,Technology,Copiers,Elite Tablet 901,1113.26,4,0.3,-74.97,32.04,Net Banking
ORD-000103,2022-06-04,CUST-0334,Jessica Moore,Home Office,South,Virginia,PROD-0150,Furniture,Bookcases,Premium Stool 320,4771.8,10,0.2,894.9,216.8,Cash
ORD-000104,2023-09-16,CUST-0212,John Wilson,Consumer,North,Illinois,PROD-0142,Furniture,Furnishings,Premium Chair 545,1538.49,5,0.3,65.01,108.56,Cash
ORD-000105,2021-09-01,CUST-0438,James Taylor,Home Office,West,California,PROD-0169,Office Supplies,Binders,Elite Folder 452,424.1,3,0.0,48.49,65.48,UPI
ORD-000106,2021-04-17,CUST-0411,Barbara Harris,Corporate,East,New Jersey,PROD-0141,Office Supplies,Labels,Basic Tape 617,12.06,2,0.0,2.31,62.42,Card
ORD-000107,2022-03-31,CUST-0033,Jennifer Moore,Home Office,North,Wisconsin,PROD-0068,Furniture,Furnishings,Pro Cabinet 691,4505.69,7,0.2,466.26,217.57,Cash
ORD-000108,2023-06-19,CUST-0328,Richard Anderson,Corporate,North,Minnesota,PROD-0127,Technology,Accessories,Smart Monitor 377,18426.06,9,0.2,-950.34,358.61,Cash
ORD-000109,2021-03-15,CUST-0315,Jessica Smith,Home Office,West,Oregon,PROD-0044,Furniture,Tables,Basic Shelf 287,1253.61,2,0.2,155.32,39.19,Net Banking
ORD-000110,2022-02-15,CUST-0208,Susan Jones,Corporate,East,Connecticut,PROD-0151,Technology,Accessories,Ultra Laptop 464,3558.29,2,0.2,383.73,58.56,UPI
ORD-000111,2022-04-09,CUST-0178,David White,Corporate,South,Virginia,PROD-0071,Office Supplies,Fasteners,Smart Stapler 565,1862.94,10,0.0,239.08,221.35,Card
ORD-000112,2023-10-28,CUST-0287,Robert Anderson,Corporate,East,New Jersey,PROD-0019,Technology,Phones,Ultra Laptop 773,11374.78,5,0.2,1117.66,242.02,Net Banking
ORD-000113,2022-11-27,CUST-0395,Sarah Davis,Home Office,South,Virginia,PROD-0063,Furniture,Chairs,Smart Lamp 645,19263.54,10,0.0,3748.51,151.18,Net Banking
ORD-000114,2022-04-16,CUST-0325,Richard Martin,Consumer,South,Georgia,PROD-0057,Furniture,Furnishings,Ultra Lamp 535,14582.76,9,0.0,3795.1,138.4,UPI
ORD-000115,2022-12-02,CUST-0048,Sarah Martin,Consumer,West,Nevada,PROD-0103,Technology,Phones,Premium Printer 469,15107.14,6,0.1,3599.95,93.88,Cash
ORD-000116,2022-02-13,CUST-0256,Robert Johnson,Corporate,South,Georgia,PROD-0189,Office Supplies,Envelopes,Pro Marker 487,204.31,4,0.1,45.05,169.23,UPI
ORD-000117,2021-08-07,CUST-0080,Richard Anderson,Consumer,South,Georgia,PROD-0200,Technology,Copiers,Elite Laptop 907,2252.31,8,0.0,629.01,227.59,Card
ORD-000118,2023-01-31,CUST-0435,Richard Harris,Consumer,North,Ohio,PROD-0124,Furniture,Tables,Elite Chair 472,10234.15,10,0.2,381.14,492.67,UPI
ORD-000119,2021-09-20,CUST-0204,Richard Moore,Home Office,South,Texas,PROD-0057,Furniture,Furnishings,Ultra Lamp 535,1825.93,9,0.0,366.54,193.54,Cash
ORD-000120,2023-11-28,CUST-0235,Mary Taylor,Home Office,West,Arizona,PROD-0031,Technology,Phones,Pro Camera 858,4999.61,4,0.4,-478.45,73.18,UPI
ORD-000121,2022-06-23,CUST-0096,Michael Jackson,Corporate,North,Wisconsin,PROD-0141,Office Supplies,Labels,Basic Tape 617,747.31,6,0.0,149.19,77.37,UPI
ORD-000122,2022-07-27,CUST-0187,William Brown,Consumer,West,Arizona,PROD-0103,Technology,Phones,Premium Printer 469,6942.63,4,0.0,1848.44,163.17,Net Banking
ORD-000123,2022-02-06,CUST-0439,Richard Wilson,Corporate,North,Wisconsin,PROD-0098,Office Supplies,Envelopes,Classic Tape 897,34.16,1,0.0,6.03,9.32,UPI
ORD-000124,2022-09-07,CUST-0403,Mary Wilson,Consumer,West,Washington,PROD-0125,Technology,Accessories,Premium Phone 666,5165.16,2,0.0,351.29,82.5,Net Banking
ORD-000125,2021-07-17,CUST-0430,Mary Harris,Home Office,North,Minnesota,PROD-0162,Technology,Copiers,Premium Monitor 491,7468.1,9,0.2,-50.47,201.17,UPI
ORD-000126,2022-02-12,CUST-0445,William Anderson,Consumer,South,Florida,PROD-0174,Office Supplies,Paper,Premium Stapler 882,384.98,5,0.3,-35.6,134.95,Net Banking
ORD-000127,2023-02-20,CUST-0456,Michael Anderson,Consumer,West,Nevada,PROD-0021,Office Supplies,Fasteners,Eco Scissors 870,402.23,3,0.3,-25.52,95.34,Net Banking
ORD-000128,2021-06-12,CUST-0435,Richard Harris,Consumer,North,Ohio,PROD-0019,Technology,Phones,Ultra Laptop 773,2892.97,5,0.2,207.18,107.93,Net Banking
ORD-000129,2023-12-03,CUST-0400,Robert Thomas,Corporate,East,New Jersey,PROD-0093,Office Supplies,Paper,Smart Folder 839,40.86,1,0.0,10.96,34.12,Card
ORD-000130,2023-03-25,CUST-0108,Richard Martin,Home Office,East,Connecticut,PROD-0043,Office Supplies,Labels,Pro Scissors 420,1587.1,9,0.0,91.91,194.94,Card
ORD-000131,2021-11-15,CUST-0054,Robert Williams,Consumer,East,Pennsylvania,PROD-0068,Furniture,Furnishings,Pro Cabinet 691,936.69,4,0.1,179.17,95.31,Cash
ORD-000132,2021-12-16,CUST-0068,Jennifer Harris,Corporate,West,Oregon,PROD-0135,Furniture,Furnishings,Ultra Chair 654,462.86,6,0.5,-97.13,263.59,UPI
ORD-000133,2021-10-04,CUST-0281,Richard Harris,Home Office,East,Connecticut,PROD-0114,Office Supplies,Envelopes,Classic Pen Set 782,197.61,10,0.5,-31.75,328.85,Net Banking
ORD-000134,2023-12-30,CUST-0269,Joseph Thomas,Consumer,South,Florida,PROD-0164,Furniture,Bookcases,Elite Shelf 252,688.36,2,0.5,-177.35,44.75,Cash
ORD-000135,2021-01-01,CUST-0156,Sarah Taylor,Consumer,North,Minnesota,PROD-0003,Furniture,Bookcases,Ultra Shelf 838,2735.75,5,0.5,-518.34,176.63,Net Banking
ORD-000136,2023-09-05,CUST-0485,Linda Jackson,Consumer,South,Florida,PROD-0194,Office Supplies,Labels,Smart Notebook 427,1445.43,10,0.1,302.14,287.66,Cash
ORD-000137,2023-06-15,CUST-0211,Barbara Anderson,Consumer,South,North Carolina,PROD-0144,Technology,Copiers,Smart Camera 425,2232.91,7,0.4,-455.12,47.06,Cash
ORD-000138,2022-07-11,CUST-0265,Susan Williams,Home Office,West,Arizona,PROD-0196,Furniture,Bookcases,Ultra Desk 809,4037.58,7,0.1,912.67,81.01,UPI
ORD-000139,2023-07-22,CUST-0057,Michael Anderson,Home Office,South,Georgia,PROD-0164,Furniture,Bookcases,Elite Shelf 252,3566.32,4,0.3,-656.85,21.33,Card
ORD-000140,2022-08-01,CUST-0096,Michael Jackson,Corporate,North,Wisconsin,PROD-0027,Technology,Machines,Ultra Monitor 633,8639.31,4,0.0,822.51,104.79,UPI
ORD-000141,2023-10-18,CUST-0216,James Anderson,Consumer,West,Nevada,PROD-0080,Furniture,Furnishings,Premium Cabinet 538,11976.78,6,0.0,3629.73,286.36,Card
ORD-000142,2023-03-15,CUST-0137,Linda Jackson,Consumer,East,New Jersey,PROD-0199,Technology,Accessories,Elite Monitor 487,,5,0.4,-92.79,43.66,Cash
ORD-000143,2023-06-27,CUST-0198,Joseph Moore,Corporate,West,Washington,PROD-0198,Furniture,Chairs,Elite Cabinet 850,1025.29,2,0.1,114.68,70.06,UPI
ORD-000144,2021-11-21,CUST-0480,Robert Martin,Home Office,East,Pennsylvania,PROD-0083,Furniture,Bookcases,Pro Sofa 153,11658.71,9,0.0,1468.93,297.09,Cash
ORD-000145,2022-03-23,CUST-0185,William Martin,Consumer,North,Illinois,PROD-0014,Office Supplies,Labels,Eco Marker 789,89.66,1,0.0,25.85,30.48,Net Banking
ORD-000146,2021-01-19,CUST-0405,John Smith,Corporate,North,Illinois,PROD-0063,Furniture,Chairs,Smart Lamp 645,19407.86,10,0.0,3132.81,72.06,Cash
ORD-000147,2022-11-25,CUST-0256,Robert Johnson,Corporate,South,Georgia,PROD-0024,Technology,Copiers,Pro Monitor 453,2093.75,1,0.3,7.06,35.96,Card
ORD-000148,2022-04-22,CUST-0065,Michael Moore,Corporate,West,Oregon,PROD-0125,Technology,Accessories,Premium Phone 666,5091.4,6,0.5,-662.1,24.02,Net Banking
ORD-000149,2021-10-03,CUST-0184,Linda Jackson,Corporate,South,Florida,PROD-0186,Technology,Machines,Pro Phone 849,1198.74,9,0.2,63.32,234.31,Cash
ORD-000150,2022-10-25,CUST-0279,Joseph Harris,Corporate,East,New Jersey,PROD-0090,Furniture,Chairs,Smart Chair 476,13424.08,9,0.0,948.59,92.58,UPI
ORD-000151,2023-01-22,CUST-0420,Mary Brown,Home Office,South,Florida,PROD-0068,Furniture,Furnishings,Pro Cabinet 691,2888.25,3,0.0,681.4,60.33,Cash
ORD-000152,2021-05-10,CUST-0165,Sarah Harris,Home Office,East,Pennsylvania,PROD-0185,Office Supplies,Art,Basic Tape 444,362.52,9,0.5,-43.6,92.2,UPI
