Order_ID,Order_Date,Customer_ID,Customer_Name,Segment,Region,State,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Shipping_Cost,Payment_Mode,Year,Month,Month_Name,Quarter,Week_of_Year,Day_of_Week,Profit_Margin_%,Revenue_after_Ship,Is_Profitable,Discount_Bucket
ORD-000024,2022-10-28,CUST-0173,Michael Moore,Home Office,North,Illinois,PROD-0071,Office Supplies,Fasteners,Smart Stapler 565,646.48,5,0.1,9.68,194.89,Card,2022,10,Oct,4,43,Friday,1.5,451.59,1,Low (≤15%)
ORD-000025,2023-04-08,CUST-0413,Jennifer Harris,Consumer,East,New Jersey,PROD-0154,Office Supplies,Envelopes,Basic Notebook 573,932.16,8,0.2,-29.99,181.38,Net Banking,2023,4,Apr,2,14,Saturday,-3.22,750.78,0,Medium (16–35%)
ORD-000026,2022-01-24,CUST-0378,Richard Harris,Home Office,South,Texas,PROD-0010,Furniture,Bookcases,Classic Cabinet 936,4211.3,8,0.3,-159.21,341.88,Cash,2022,1,Jan,1,4,Monday,-3.78,3869.42,0,Medium (16–35%)
ORD-000027,2023-08-23,CUST-0151,Jessica Wilson,Consumer,West,California,PROD-0025,Furniture,Furnishings,Classic Chair 525,720.5,3,0.3,4.56,40.34,Cash,2023,8,Aug,3,34,Wednesday,0.63,680.16,1,Medium (16–35%)
ORD-000028,2023-05-12,CUST-0382,William Martin,Consumer,East,Pennsylvania,PROD-0079,Furniture,Furnishings,Basic Chair 978,3993.43,5,0.5,-377.92,125.58,Card,2023,5,May,2,19,Friday,-9.46,3867.85,0,High (>35%)
ORD-000029,2023-10-22,CUST-0242,William Harris,Corporate,West,Nevada,PROD-0050,Technology,Phones,Pro Monitor 299,14406.41,7,0.0,4484.06,70.61,Cash,2023,10,Oct,4,42,Sunday,31.13,14335.8,1,No Discount
ORD-000030,2023-07-27,CUST-0176,Jessica Williams,Corporate,East,Connecticut,PROD-0105,Office Supplies,Fasteners,Elite Notebook 888,40.17,2,0.5,-10.05,98.74,UPI,2023,7,Jul,3,30,Thursday,-25.02,-58.57,0,High (>35%)
ORD-000031,2021-01-10,CUST-0325,Richard Martin,Consumer,South,Georgia,PROD-0015,Technology,Accessories,Classic Camera 347,6676.78,10,0.0,1314.48,388.88,Card,2021,1,Jan,1,1,Sunday,19.69,6287.9,1,No Discount
ORD-000032,2023-06-08,CUST-0067,Mary Smith,Home Office,North,Ohio,PROD-0158,Office Supplies,Binders,Basic Marker 122,1352.67,7,0.0,82.94,86.61,UPI,2023,6,Jun,2,23,Thursday,6.13,1266.06,1,No Discount
ORD-000033,2022-10-22,CUST-0487,Patricia White,Home Office,South,Texas,PROD-0004,Office Supplies,Art,Ultra Tape 568,7.64,1,0.1,0.29,44.22,UPI,2022,10,Oct,4,42,Saturday,3.8,-36.58,1,Low (≤15%)
ORD-000034,2023-02-25,CUST-0067,Mary Smith,Home Office,North,Ohio,PROD-0027,Technology,Machines,Ultra Monitor 633,762.43,1,0.2,133.07,24.43,UPI,2023,2,Feb,1,8,Saturday,17.45,738.0,1,Medium (16–35%)
ORD-000035,2021-10-02,CUST-0223,Joseph Harris,Consumer,South,Florida,PROD-0176,Furniture,Bookcases,Smart Stool 705,3004.77,4,0.0,1004.87,184.62,Net Banking,2021,10,Oct,4,39,Saturday,33.44,2820.15,1,No Discount
ORD-000036,2022-04-05,CUST-0010,Susan Davis,Consumer,South,Virginia,PROD-0059,Technology,Machines,Basic Speaker 549,4370.57,10,0.0,380.01,364.22,Card,2022,4,Apr,2,14,Tuesday,8.69,4006.35,1,No Discount
ORD-000037,2022-06-08,CUST-0193,Patricia Brown,Home Office,East,Massachusetts,PROD-0164,Furniture,Bookcases,Elite Shelf 252,1565.37,1,0.0,385.19,3.93,Card,2022,6,Jun,2,23,Wednesday,24.61,1561.44,1,No Discount
ORD-000038,2023-02-18,CUST-0214,Patricia Harris,Corporate,East,New Jersey,PROD-0114,Office Supplies,Envelopes,Classic Pen Set 782,567.46,4,0.0,79.63,136.39,UPI,2023,2,Feb,1,7,Saturday,14.03,431.07,1,No Discount
ORD-000039,2021-10-08,CUST-0319,David Smith,Home Office,North,Ohio,PROD-0156,Furniture,Tables,Eco Desk 481,8957.69,10,0.0,1207.6,398.84,Net Banking,2021,10,Oct,4,40,Friday,13.48,8558.85,1,No Discount
ORD-000040,2022-02-14,CUST-0102,Sarah Wilson,Home Office,South,Virginia,PROD-0156,Furniture,Tables,Eco Desk 481,5681.24,6,0.4,-1030.55,29.11,Net Banking,2022,2,Feb,1,7,Monday,-18.14,5652.13,0,High (>35%)
ORD-000041,2023-09-12,CUST-0467,Jennifer Jones,Corporate,West,Oregon,PROD-0054,Furniture,Bookcases,Classic Desk 272,728.15,2,0.5,-222.27,14.47,Card,2023,9,Sep,3,37,Tuesday,-30.53,713.68,0,High (>35%)
ORD-000042,2021-07-27,CUST-0371,Joseph Martin,Consumer,North,Wisconsin,PROD-0186,Technology,Machines,Pro Phone 849,7803.17,5,0.2,228.5,38.46,Cash,2021,7,Jul,3,30,Tuesday,2.93,7764.71,1,Medium (16–35%)
ORD-000043,2022-08-19,CUST-0448,Susan Jackson,Home Office,North,Illinois,PROD-0011,Technology,Machines,Ultra Laptop 706,4092.92,2,0.0,1249.87,89.69,Card,2022,8,Aug,3,33,Friday,30.54,4003.23,1,No Discount
ORD-000044,2021-12-16,CUST-0437,Richard Jones,Consumer,West,Arizona,PROD-0036,Furniture,Tables,Classic Desk 870,3622.28,5,0.0,586.04,95.54,Card,2021,12,Dec,4,50,Thursday,16.18,3526.74,1,No Discount
ORD-000045,2023-07-24,CUST-0206,Michael Moore,Consumer,South,Florida,PROD-0103,Technology,Phones,Premium Printer 469,8315.02,7,0.0,697.77,250.04,Card,2023,7,Jul,3,30,Monday,8.39,8064.98,1,No Discount
ORD-000046,2021-08-01,CUST-0483,Mary Miller,Consumer,East,New Jersey,PROD-0041,Technology,Phones,Smart Tablet 965,14341.71,8,0.0,3347.31,316.97,Card,2021,8,Aug,3,30,Sunday,23.34,14024.74,1,No Discount
ORD-000047,2021-09-25,CUST-0442,Patricia Johnson,Consumer,West,California,PROD-0176,Furniture,Bookcases,Smart Stool 705,8142.81,8,0.0,561.86,270.27,Card,2021,9,Sep,3,38,Saturday,6.9,7872.54,1,No Discount
ORD-000048,2023-12-11,CUST-0361,James Martin,Home Office,North,Wisconsin,PROD-0174,Office Supplies,Paper,Premium Stapler 882,691.06,6,0.0,124.29,222.92,Net Banking,2023,12,Dec,4,50,Monday,17.99,468.14,1,No Discount
ORD-000049,2023-02-28,CUST-0178,David White,Corporate,South,Virginia,PROD-0170,Office Supplies,Envelopes,Eco Stapler 376,1789.52,10,0.0,95.73,469.15,Net Banking,2023,2,Feb,1,9,Tuesday,5.35,1320.37,1,No Discount
ORD-000050,2021-12-05,CUST-0437,Richard Jones,Consumer,West,Arizona,PROD-0127,Technology,Accessories,Smart Monitor 377,7501.81,5,0.0,1515.96,144.37,Net Banking,2021,12,Dec,4,48,Sunday,20.21,7357.44,1,No Discount
ORD-000051,2021-06-11,CUST-0207,Mary Taylor,Home Office,West,California,PROD-0061,Office Supplies,Envelopes,Eco Scissors 269,369.52,8,0.5,-94.29,392.73,Card,2021,6,Jun,2,23,Friday,-25.52,-23.21,0,High (>35%)
ORD-000052,2023-04-25,CUST-0053,Sarah Miller,Consumer,East,Connecticut,PROD-0104,Technology,Accessories,Eco Monitor 474,13358.73,10,0.2,2097.77,294.3,Net Banking,2023,4,Apr,2,17,Tuesday,15.7,13064.43,1,Medium (16–35%)
ORD-000053,2023-01-15,CUST-0487,Patricia White,Home Office,South,Texas,PROD-0088,Technology,Phones,Eco Speaker 810,7376.81,6,0.5,-995.89,120.45,Net Banking,2023,1,Jan,1,2,Sunday,-13.5,7256.36,0,High (>35%)
ORD-000054,2022-03-31,CUST-0059,James Harris,Corporate,South,Texas,PROD-0025,Furniture,Furnishings,Classic Chair 525,364.61,5,0.3,7.52,25.76,Cash,2022,3,Mar,1,13,Thursday,2.06,338.85,1,Medium (16–35%)
ORD-000055,2023-04-19,CUST-0253,John Jackson,Corporate,East,Pennsylvania,PROD-0036,Furniture,Tables,Classic Desk 870,1910.33,7,0.1,204.62,278.09,UPI,2023,4,Apr,2,16,Wednesday,10.71,1632.24,1,Low (≤15%)
ORD-000056,2023-04-29,CUST-0056,Robert White,Home Office,East,Connecticut,PROD-0194,Office Supplies,Labels,Smart Notebook 427,136.07,2,0.5,-28.95,61.4,Cash,2023,4,Apr,2,17,Saturday,-21.28,74.67,0,High (>35%)
ORD-000057,2021-01-09,CUST-0494,David Brown,Corporate,North,Ohio,PROD-0128,Furniture,Bookcases,Premium Chair 283,5538.46,10,0.5,-402.58,397.11,Cash,2021,1,Jan,1,1,Saturday,-7.27,5141.35,0,High (>35%)
ORD-000058,2021-12-22,CUST-0355,Jennifer Miller,Consumer,West,Oregon,PROD-0149,Technology,Copiers,Basic Tablet 192,3001.08,10,0.3,-116.34,210.79,Cash,2021,12,Dec,4,51,Wednesday,-3.88,2790.29,0,Medium (16–35%)
ORD-000059,2022-12-04,CUST-0141,William Brown,Consumer,East,Pennsylvania,PROD-0102,Furniture,Furnishings,Basic Cabinet 346,10886.03,7,0.2,1555.86,201.23,UPI,2022,12,Dec,4,48,Sunday,14.29,10684.8,1,Medium (16–35%)
ORD-000060,2022-03-22,CUST-0365,William Jones,Corporate,North,Michigan,PROD-0189,Office Supplies,Envelopes,Pro Marker 487,369.98,6,0.0,127.42,201.32,Cash,2022,3,Mar,1,12,Tuesday,34.44,168.66,1,No Discount
ORD-000061,2022-10-23,CUST-0258,Sarah Harris,Corporate,North,Minnesota,PROD-0139,Furniture,Bookcases,Premium Chair 337,8698.02,10,0.4,-589.09,450.12,UPI,2022,10,Oct,4,42,Sunday,-6.77,8247.9,0,High (>35%)
ORD-000062,2021-01-27,CUST-0450,Sarah Wilson,Corporate,North,Michigan,PROD-0109,Office Supplies,Art,Pro Pen Set 384,30.0,1,0.1,1.5,39.92,UPI,2021,1,Jan,1,4,Wednesday,5.0,-9.92,1,Low (≤15%)
ORD-000063,2021-10-27,CUST-0350,Robert Williams,Home Office,West,Arizona,PROD-0065,Office Supplies,Binders,Basic Marker 238,562.97,9,0.0,88.73,218.45,Cash,2021,10,Oct,4,43,Wednesday,15.76,344.52,1,No Discount
ORD-000064,2023-03-08,CUST-0381,Richard Johnson,Consumer,West,Arizona,PROD-0166,Technology,Copiers,Basic Laptop 386,11818.53,5,0.0,3875.83,106.08,UPI,2023,3,Mar,1,10,Wednesday,32.79,11712.45,1,No Discount
ORD-000065,2021-04-21,CUST-0495,Jessica Harris,Consumer,East,Pennsylvania,PROD-0142,Furniture,Furnishings,Premium Chair 545,897.36,8,0.1,218.46,288.94,UPI,2021,4,Apr,2,16,Wednesday,24.34,608.42,1,Low (≤15%)
ORD-000066,2022-02-07,CUST-0387,Sarah Moore,Corporate,South,Texas,PROD-0151,Technology,Accessories,Ultra Laptop 464,8683.96,3,0.0,921.31,33.51,Card,2022,2,Feb,1,6,Monday,10.61,8650.45,1,No Discount
ORD-000067,2023-05-28,CUST-0194,James Johnson,Corporate,West,Oregon,PROD-0011,Technology,Machines,Ultra Laptop 706,4147.53,5,0.0,618.68,181.78,Cash,2023,5,May,2,21,Sunday,14.92,3965.75,1,No Discount
ORD-000068,2022-10-23,CUST-0021,Sarah Williams,Corporate,West,Washington,PROD-0040,Office Supplies,Binders,Eco Tape 725,317.37,5,0.5,-35.87,144.29,Card,2022,10,Oct,4,42,Sunday,-11.3,173.08,0,High (>35%)
ORD-000069,2022-10-13,CUST-0402,David Jones,Home Office,South,Virginia,PROD-0182,Office Supplies,Paper,Smart Marker 160,958.66,9,0.0,167.55,116.46,Card,2022,10,Oct,4,41,Thursday,17.48,842.2,1,No Discount
ORD-000070,2022-03-13,CUST-0179,Joseph Jones,Corporate,North,Michigan,PROD-0057,Furniture,Furnishings,Ultra Lamp 535,6801.68,10,0.5,-346.96,417.13,Card,2022,3,Mar,1,10,Sunday,-5.1,6384.55,0,High (>35%)
ORD-000071,2022-12-10,CUST-0059,James Harris,Corporate,South,Texas,PROD-0172,Technology,Phones,Elite Speaker 642,24464.38,10,0.1,6303.71,350.8,UPI,2022,12,Dec,4,49,Saturday,25.77,24113.58,1,Low (≤15%)
ORD-000072,2023-03-02,CUST-0196,Jessica Miller,Corporate,West,Washington,PROD-0030,Technology,Phones,Basic Speaker 123,13770.09,9,0.3,-491.69,242.2,Net Banking,2023,3,Mar,1,9,Thursday,-3.57,13527.89,0,Medium (16–35%)
ORD-000073,2022-01-30,CUST-0023,Richard Harris,Home Office,East,Massachusetts,PROD-0076,Furniture,Furnishings,Smart Shelf 948,6377.35,9,0.0,1518.32,116.16,Cash,2022,1,Jan,1,4,Sunday,23.81,6261.19,1,No Discount
ORD-000074,2023-05-19,CUST-0443,Mary Jackson,Corporate,East,Pennsylvania,PROD-0176,Furniture,Bookcases,Smart Stool 705,11814.35,7,0.0,3237.93,71.59,Net Banking,2023,5,May,2,20,Friday,27.41,11742.76,1,No Discount
ORD-000075,2021-03-19,CUST-0368,Linda Jones,Consumer,South,North Carolina,PROD-0085,Office Supplies,Labels,Basic Scissors 101,1438.85,9,0.0,320.13,123.29,UPI,2021,3,Mar,1,11,Friday,22.25,1315.56,1,No Discount
ORD-000076,2023-07-13,CUST-0209,Jessica Miller,Consumer,South,Georgia,PROD-0100,Office Supplies,Envelopes,Ultra Tape 865,16.59,2,0.0,4.02,64.12,Card,2023,7,Jul,3,28,Thursday,24.23,-47.53,1,No Discount
ORD-000077,2023-01-03,CUST-0359,William Johnson,Home Office,West,Washington,PROD-0019,Technology,Phones,Ultra Laptop 773,1815.5,5,0.0,244.1,232.77,Net Banking,2023,1,Jan,1,1,Tuesday,13.45,1582.73,1,No Discount
ORD-000078,2021-03-05,CUST-0203,Susan Taylor,Consumer,North,Wisconsin,PROD-0170,Office Supplies,Envelopes,Eco Stapler 376,176.93,7,0.2,31.5,68.4,UPI,2021,3,Mar,1,9,Friday,17.8,108.53,1,Medium (16–35%)
ORD-000079,2021-10-17,CUST-0491,Robert Williams,Consumer,South,Florida,PROD-0003,Furniture,Bookcases,Ultra Shelf 838,3007.32,9,0.0,425.26,343.53,UPI,2021,10,Oct,4,41,Sunday,14.14,2663.79,1,No Discount
ORD-000080,2023-11-16,CUST-0109,Richard White,Consumer,South,Georgia,PROD-0106,Furniture,Chairs,Basic Lamp 114,1667.99,5,0.1,7.32,172.68,Card,2023,11,Nov,4,46,Thursday,0.44,1495.31,1,Low (≤15%)
ORD-000081,2023-08-03,CUST-0436,John Thomas,Corporate,North,Illinois,PROD-0193,Office Supplies,Labels,Pro Folder 439,679.89,5,0.0,74.26,151.44,UPI,2023,8,Aug,3,31,Thursday,10.92,528.45,1,No Discount
ORD-000082,2022-04-26,CUST-0183,William Jackson,Corporate,North,Ohio,PROD-0033,Office Supplies,Art,Ultra Folder 916,541.57,6,0.5,-116.33,191.81,UPI,2022,4,Apr,2,17,Tuesday,-21.48,349.76,0,High (>35%)
ORD-000083,2021-11-09,CUST-0356,Barbara Williams,Corporate,West,Oregon,PROD-0150,Furniture,Bookcases,Premium Stool 320,8221.84,7,0.0,423.01,101.99,Cash,2021,11,Nov,4,45,Tuesday,5.14,8119.85,1,No Discount
ORD-000084,2023-06-13,CUST-0365,William Jones,Corporate,North,Michigan,PROD-0190,Technology,Machines,Pro Phone 846,3331.45,6,0.5,-703.42,119.17,UPI,2023,6,Jun,2,24,Tuesday,-21.11,3212.28,0,High (>35%)
ORD-000085,2021-08-11,CUST-0250,Susan Brown,Consumer,South,Virginia,PROD-0142,Furniture,Furnishings,Premium Chair 545,1171.7,3,0.1,57.38,133.97,Card,2021,8,Aug,3,32,Wednesday,4.9,1037.73,1,Low (≤15%)
ORD-000086,2021-02-08,CUST-0373,Michael Thomas,Home Office,North,Michigan,PROD-0020,Office Supplies,Binders,Premium Notebook 676,980.79,10,0.4,-38.49,130.0,Card,2021,2,Feb,1,6,Monday,-3.92,850.79,0,High (>35%)
ORD-000087,2023-08-25,CUST-0283,John Johnson,Home Office,North,Wisconsin,PROD-0067,Furniture,Tables,Smart Desk 948,10739.4,10,0.2,-749.99,265.53,Card,2023,8,Aug,3,34,Friday,-6.98,10473.87,0,Medium (16–35%)
ORD-000088,2023-10-26,CUST-0204,Richard Moore,Home Office,South,Texas,PROD-0094,Furniture,Tables,Elite Cabinet 980,1201.24,10,0.0,332.94,95.97,Cash,2023,10,Oct,4,43,Thursday,27.72,1105.27,1,No Discount
ORD-000089,2021-10-27,CUST-0092,Sarah Miller,Home Office,West,Arizona,PROD-0145,Technology,Machines,Basic Phone 307,2952.67,4,0.5,-828.15,61.7,Cash,2021,10,Oct,4,43,Wednesday,-28.05,2890.97,0,High (>35%)
ORD-000090,2022-02-28,CUST-0022,Jennifer White,Consumer,East,Pennsylvania,PROD-0172,Technology,Phones,Elite Speaker 642,19078.47,8,0.0,1182.32,267.85,Card,2022,2,Feb,1,9,Monday,6.2,18810.62,1,No Discount
ORD-000091,2022-07-15,CUST-0361,James Martin,Home Office,North,Wisconsin,PROD-0134,Office Supplies,Storage,Ultra Marker 254,200.07,3,0.4,-14.78,60.51,Card,2022,7,Jul,3,28,Friday,-7.39,139.56,0,High (>35%)
ORD-000092,2023-02-10,CUST-0265,Susan Williams,Home Office,West,Arizona,PROD-0065,Office Supplies,Binders,Basic Marker 238,252.42,6,0.5,-28.32,268.18,Card,2023,2,Feb,1,6,Friday,-11.22,-15.76,0,High (>35%)
ORD-000093,2023-06-20,CUST-0257,Mary Williams,Consumer,West,Arizona,PROD-0036,Furniture,Tables,Classic Desk 870,1658.6,4,0.0,175.93,80.1,Card,2023,6,Jun,2,25,Tuesday,10.61,1578.5,1,No Discount
ORD-000094,2023-04-30,CUST-0339,Susan Harris,Home Office,North,Ohio,PROD-0059,Technology,Machines,Basic Speaker 549,8699.02,8,0.5,-2494.78,84.63,Net Banking,2023,4,Apr,2,17,Sunday,-28.68,8614.39,0,High (>35%)
ORD-000095,2021-03-30,CUST-0012,Richard Moore,Consumer,West,California,PROD-0063,Furniture,Chairs,Smart Lamp 645,3086.84,9,0.0,979.27,89.12,Cash,2021,3,Mar,1,13,Tuesday,31.72,2997.72,1,No Discount
ORD-000096,2023-11-25,CUST-0133,Michael Thomas,Corporate,West,Nevada,PROD-0047,Furniture,Furnishings,Pro Sofa 668,1536.52,1,0.2,267.63,13.18,Net Banking,2023,11,Nov,4,47,Saturday,17.42,1523.34,1,Medium (16–35%)
ORD-000097,2021-12-16,CUST-0445,William Anderson,Consumer,South,Florida,PROD-0124,Furniture,Tables,Elite Chair 472,5167.91,10,0.0,1224.61,270.08,Cash,2021,12,Dec,4,50,Thursday,23.7,4897.83,1,No Discount
ORD-000098,2022-12-03,CUST-0371,Joseph Martin,Consumer,North,Wisconsin,PROD-0176,Furniture,Bookcases,Smart Stool 705,7780.37,7,0.4,-1792.1,26.45,Net Banking,2022,12,Dec,4,48,Saturday,-23.03,7753.92,0,High (>35%)
ORD-000099,2021-07-17,CUST-0424,Sarah Davis,Home Office,South,North Carolina,PROD-0039,Technology,Phones,Elite Tablet 640,24387.7,9,0.0,1901.19,305.92,Card,2021,7,Jul,3,28,Saturday,7.8,24081.78,1,No Discount
ORD-000100,2023-06-03,CUST-0460,David Thomas,Home Office,South,Georgia,PROD-0199,Technology,Accessories,Elite Monitor 487,6170.11,9,0.4,-1241.14,366.37,Net Banking,2023,6,Jun,2,22,Saturday,-20.12,5803.74,0,High (>35%)
ORD-000101,2021-07-20,CUST-0180,John Williams,Corporate,West,Arizona,PROD-0151,Technology,Accessories,Ultra Laptop 464,1281.33,2,0.2,89.04,57.11,UPI,2021,7,Jul,3,29,Tuesday,6.95,1224.22,1,Medium (16–35%)
ORD-000102,2021-01-15,CUST-0097,John Smith,Corporate,North,Michigan,PROD-0002,Technology,Copiers,Elite Tablet 901,1113.26,4,0.3,-74.97,32.04,Net Banking,2021,1,Jan,1,2,Friday,-6.73,1081.22,0,Medium (16–35%)
ORD-000103,2022-06-04,CUST-0334,Jessica Moore,Home Office,South,Virginia,PROD-0150,Furniture,Bookcases,Premium Stool 320,4771.8,10,0.2,894.9,216.8,Cash,2022,6,Jun,2,22,Saturday,18.75,4555.0,1,Medium (16–35%)
ORD-000104,2023-09-16,CUST-0212,John Wilson,Consumer,North,Illinois,PROD-0142,Furniture,Furnishings,Premium Chair 545,1538.49,5,0.3,65.01,108.56,Cash,2023,9,Sep,3,37,Saturday,4.23,1429.93,1,Medium (16–35%)
ORD-000105,2021-09-01,CUST-0438,James Taylor,Home Office,West,California,PROD-0169,Office Supplies,Binders,Elite Folder 452,424.1,3,0.0,48.49,65.48,UPI,2021,9,Sep,3,35,Wednesday,11.43,358.62,1,No Discount
ORD-000106,2021-04-17,CUST-0411,Barbara Harris,Corporate,East,New Jersey,PROD-0141,Office Supplies,Labels,Basic Tape 617,12.06,2,0.0,2.31,62.42,Card,2021,4,Apr,2,15,Saturday,19.15,-50.36,1,No Discount
ORD-000107,2022-03-31,CUST-0033,Jennifer Moore,Home Office,North,Wisconsin,PROD-0068,Furniture,Furnishings,Pro Cabinet 691,4505.69,7,0.2,466.26,217.57,Cash,2022,3,Mar,1,13,Thursday,10.35,4288.12,1,Medium (16–35%)
